id_paczkomat,miejscowosc,klasa_miejscowosci
DOC01M,DABROWICA,wieś
DOC01W,DABROWICA,wieś
DOD01M,DOBROWODA,wieś
DOE01M,DOMANIEW,wieś
DOF01M,DOBRZYNIEWO FABRYCZNE,wieś
DOH01M,DOLHOBYCZÓW,wieś
DOI01M,DOBIESZCZYZNA,wieś
DOK01M,DOBRZYNIEWO KOSCIELNE,wieś
DOL01A,DOLSK,miasto do 20 tys. mieszkańców
DOL01M,DOLSK,miasto do 20 tys. mieszkańców
DOL02M,DOLSK,miasto do 20 tys. mieszkańców
DOM01M,DOMASZCZYN,wieś
DON01A,DOMANIEWICE,wieś
DON01C,DOMANIEWICE,wieś
DON01M,DOMANIEWICE,wieś
DOO009,DOBRODZIEN,miasto do 20 tys. mieszkańców
DOO01G,DOBRODZIEN,miasto do 20 tys. mieszkańców
DOO01M,DOBRODZIEN,miasto do 20 tys. mieszkańców
DOO02M,DOBRODZIEN,miasto do 20 tys. mieszkańców
DOO03M,DOBRODZIEN,miasto do 20 tys. mieszkańców
DOP01A,DOPIEWO,wieś
DOP01M,DOPIEWO,wieś
DOP01N,DOPIEWO,wieś
DOP02M,DOPIEWO,wieś
DOP03M,DOPIEWO,wieś
DOR01M,DOBRON,wieś
DOR02M,DOBRON,wieś
DOS01M,DOSIN,wieś
DOU01A,DORUCHÓW,wieś
DOU01M,DORUCHÓW,wieś
DOV01M,DRZONOWO,wieś
DOW01M,DOMASZOWICE,wieś
DOX01M,DOBRE,wieś
DOX02M,DOBRE,wieś
DOY01M,DOBIESZYN,wieś
DOZ01A,DOBRZANY,miasto do 20 tys. mieszkańców
DOZ01M,DOBRZANY,miasto do 20 tys. mieszkańców
DOZ02A,DOBRZANY,miasto do 20 tys. mieszkańców
DOZ03A,DOBRZANY,miasto do 20 tys. mieszkańców
DPC01M,DOPIEWIEC,wieś
DPC02M,DOPIEWIEC,wieś
DPC03M,DOPIEWIEC,wieś
DPL01M,DEBNO POLSKIE,wieś
DPL01N,DEBNO POLSKIE,wieś
DPM01M,DRAWSKO POMORSKIE,miasto do 20 tys. mieszkańców
DPM02M,DRAWSKO POMORSKIE,miasto do 20 tys. mieszkańców
DPM02N,DRAWSKO POMORSKIE,miasto do 20 tys. mieszkańców
DPM03M,DRAWSKO POMORSKIE,miasto do 20 tys. mieszkańców
DPM03N,DRAWSKO POMORSKIE,miasto do 20 tys. mieszkańców
DPM04M,DRAWSKO POMORSKIE,miasto do 20 tys. mieszkańców
DPM05M,DRAWSKO POMORSKIE,miasto do 20 tys. mieszkańców
DPM06M,DRAWSKO POMORSKIE,miasto do 20 tys. mieszkańców
DPM408,DRAWSKO POMORSKIE,miasto do 20 tys. mieszkańców
DQB01M,DOBRZEN,wieś
DQC01D,DOBROCIN,wieś
DQI01M,DOBIEZYN,wieś
DQN01M,DONABORÓW,wieś
DQR01M,DOBRZYNIÓWKA,wieś
DQX01M,DASZEWICE,wieś
DRA01M,DRWALEW,wieś
DRB01M,DABROWA BISKUPIA,wieś
DRC01M,DOBRCZ,wieś
DRC01N,DOBRCZ,wieś
DRE01D,DREWNICA,wieś
DRG01M,DROGINIA,wieś
DRH01A,DROHICZYN,miasto do 20 tys. mieszkańców
DRI01M,DRWINIA,wieś
DRK01N,DOBRZYKOWICE,wieś
DRL01M,DZIERLIN,wieś
DRN01A,DRAWNO,miasto do 20 tys. mieszkańców
DRN01M,DRAWNO,miasto do 20 tys. mieszkańców
DRO01G,DROSZKÓW,wieś
DRO01M,DROSZKÓW,wieś
DRO02M,DROSZKÓW,wieś
DRO03M,DROSZKÓW,wieś
DRQ01M,DRELÓW,wieś
DRS01M,DROGOSZE,wieś
DRT01M,DRETYN,wieś
DRV01M,DABRÓWKA,wieś
DRW01A,DRZEWICA,miasto do 20 tys. mieszkańców
DRW01M,DRZEWICA,miasto do 20 tys. mieszkańców
DRW02M,DRZEWICA,miasto do 20 tys. mieszkańców
DRW03M,DRZEWICA,miasto do 20 tys. mieszkańców
DRX01M,DOBRA,miasto do 20 tys. mieszkańców
DRX02M,DOBRA,miasto do 20 tys. mieszkańców
DRY01M,DOBRYSZYCE,wieś
DRZ01A,DOBRZYCA,miasto do 20 tys. mieszkańców
DRZ01M,DOBRZYCA,miasto do 20 tys. mieszkańców
DRZ02M,DOBRZYCA,miasto do 20 tys. mieszkańców
DSC01M,DOBIESZOWICE,wieś
DSE01M,DOMASZOWICE,wieś
DSK01M,DRAWSKO,wieś
DSK02M,DRAWSKO,wieś
DSK03M,DRAWSKO,wieś
DSL01M,DLUGA SZLACHECKA,wieś
DSN01M,DUSZNIKI,wieś
DSN02M,DUSZNIKI,wieś
DSN03M,DUSZNIKI,wieś
DSO01G,DOBROSOLOWO,wieś
DSS01M,DEBY SZLACHECKIE,wieś
DSX01M,DEBSK,wieś
DSZ01M,DABROWA SZLACHECKA,wieś
DTR01A,DABROWA TARNOWSKA,miasto do 20 tys. mieszkańców
DTR01M,DABROWA TARNOWSKA,miasto do 20 tys. mieszkańców
DTR01N,DABROWA TARNOWSKA,miasto do 20 tys. mieszkańców
DTR02M,DABROWA TARNOWSKA,miasto do 20 tys. mieszkańców
DTR02N,DABROWA TARNOWSKA,miasto do 20 tys. mieszkańców
DTR03M,DABROWA TARNOWSKA,miasto do 20 tys. mieszkańców
DTR04M,DABROWA TARNOWSKA,miasto do 20 tys. mieszkańców
DUB01M,DUBIENKA,wieś
DUC01A,DUCZKI,wieś
DUC01M,DUCZKI,wieś
DUC02A,DUCZKI,wieś
DUE01M,DUBENINKI,wieś
DUH01M,DUCHNÓW,wieś
DUK01G,DUKLA,wieś
DUK01M,DUKLA,wieś
DUK02M,DUKLA,miasto do 20 tys. mieszkańców
DUL01N,DULOWA,wieś
DUN01G,DUNINOWO,wieś
DUN01M,DUNINOWO,wieś
DUS01G,DUSZNIKI-ZDRÓJ,miasto do 20 tys. mieszkańców
DUS01M,DUSZNIKI-ZDRÓJ,miasto do 20 tys. mieszkańców
DUS02M,DUSZNIKI-ZDRÓJ,miasto do 20 tys. mieszkańców
DUS03M,DUSZNIKI-ZDRÓJ,miasto do 20 tys. mieszkańców
DUW01M,DULCZA WIELKA,wieś
DUZ01M,DUBECZNO,wieś
DVA01M,DABROWA,wieś
DVI01M,DEBOWIEC,wieś
DVK01M,DZIADOWA KLODA,wieś
DVQ01M,DWORNIA,wieś
DWA01M,DABROWA,wieś
DWA02M,DABROWA,wieś
DWB01M,DAWIDY BANKOWE,wieś
DWC01M,DOBRANOWICE,wieś
DWE01M,DABROWA WIELKA,wieś
DWG01M,DABRÓWKA GÓRNA,wieś
DWI01D,DZWIERZUTY,wieś
DWI01N,DZWIERZUTY,wieś
DWI02N,DZWIERZUTY,wieś
DWK01A,DEBE WIELKIE,wieś
DWK01M,DEBE WIELKIE,wieś
DWK01N,DEBE WIELKIE,wieś
DWK02M,DEBE WIELKIE,wieś
DWL01M,DABRÓWKA LESNA,wieś
DWM01M,DRAWSKI MLYN,wieś
DWN01N,DZIWNÓWEK,wieś
DWO01M,DOBROWO,wieś
DWR01M,DABRÓWKA WARSZAWSKA,wieś
DWW01M,DZIEWKOWICE,wieś
DWZ01M,DABROWA ZIELONA,wieś
DXA01D,DYLAKI,wieś
DXA01M,DYLAKI,wieś
DXB01M,DEBNO,wieś
DXE01M,DOBRE,wieś
DXO01G,DOMINOWO,wieś
DXO01M,DOMINOWO,wieś
DXX01M,DOBRA,wieś
DYA01M,DRYGALY,wieś
DYC01D,DOBRZYCA,wieś
DYD01M,DYDNIA,wieś
DYG01A,DYGOWO,wieś
DYG01M,DYGOWO,wieś
DYK01F,DYBÓW-KOLONIA,wieś
DYL01M,DYLEWO,wieś
DYN01A,DYNÓW,miasto do 20 tys. mieszkańców
DYN01M,DYNÓW,miasto do 20 tys. mieszkańców
DYN02M,DYNÓW,miasto do 20 tys. mieszkańców
DYS01M,DYS,wieś
DYS01N,DYS,wieś
DYW01A,DYWITY,wieś
DYW01F,DYWITY,wieś
DYW01G,DYWITY,wieś
DYW01M,DYWITY,wieś
DYW02F,DYWITY,wieś
DYW02M,DYWITY,wieś
DYZ01M,DYSZÓW,wieś
DZA01E,DZWOLA,wieś
DZB01G,DZIEMBOWO,wieś
DZC01G,DZIALOSZYCE,wieś
DZC01M,DZIALOSZYCE,miasto do 20 tys. mieszkańców
DZD01C,DREZDENKO,miasto do 20 tys. mieszkańców
DZD01G,DREZDENKO,miasto do 20 tys. mieszkańców
DZD01M,DREZDENKO,miasto do 20 tys. mieszkańców
DZD02M,DREZDENKO,miasto do 20 tys. mieszkańców
DZD03M,DREZDENKO,miasto do 20 tys. mieszkańców
DZD04M,DREZDENKO,miasto do 20 tys. mieszkańców
DZD05M,DREZDENKO,miasto do 20 tys. mieszkańców
DZD06M,DREZDENKO,miasto do 20 tys. mieszkańców
DZD07M,DREZDENKO,miasto do 20 tys. mieszkańców
DZD08M,DREZDENKO,miasto do 20 tys. mieszkańców
DZE01M,DZIERZGON,miasto do 20 tys. mieszkańców
DZE01N,DZIERZGON,miasto do 20 tys. mieszkańców
DZE434,DZIERZGON,miasto do 20 tys. mieszkańców
DZG01M,DZIERGOWICE,wieś
DZH01M,DZIECHCINIEC,wieś
DZI01L,DZIERZONIÓW,miasto 20 - 50 tys. mieszkańców
DZI01M,DZIERZONIÓW,miasto 20 - 50 tys. mieszkańców
DZI01N,DZIERZONIÓW,miasto 20 - 50 tys. mieszkańców
DZI02M,DZIERZONIÓW,miasto 20 - 50 tys. mieszkańców
DZI02N,DZIERZONIÓW,miasto 20 - 50 tys. mieszkańców
DZI03M,DZIERZONIÓW,miasto 20 - 50 tys. mieszkańców
DZI03N,DZIERZONIÓW,miasto 20 - 50 tys. mieszkańców
DZI04M,DZIERZONIÓW,miasto 20 - 50 tys. mieszkańców
DZI04N,DZIERZONIÓW,miasto 20 - 50 tys. mieszkańców
DZI05M,DZIERZONIÓW,miasto 20 - 50 tys. mieszkańców
DZI05N,DZIERZONIÓW,miasto 20 - 50 tys. mieszkańców
DZI06M,DZIERZONIÓW,miasto 20 - 50 tys. mieszkańców
DZI06N,DZIERZONIÓW,miasto 20 - 50 tys. mieszkańców
DZI07M,DZIERZONIÓW,miasto 20 - 50 tys. mieszkańców
DZI07N,DZIERZONIÓW,miasto 20 - 50 tys. mieszkańców
DZI08M,DZIERZONIÓW,miasto 20 - 50 tys. mieszkańców
DZI09M,DZIERZONIÓW,miasto 20 - 50 tys. mieszkańców
DZI192,DZIERZONIÓW,miasto 20 - 50 tys. mieszkańców
DZI349,DZIERZONIÓW,miasto 20 - 50 tys. mieszkańców
DZK01E,DZIKOWIEC,wieś
DZK01M,DZIKOWIEC,wieś
DZL01A,DZIALDOWO,miasto 20 - 50 tys. mieszkańców
DZL01M,DZIALDOWO,miasto 20 - 50 tys. mieszkańców
DZL01N,DZIALDOWO,miasto 20 - 50 tys. mieszkańców
DZL02A,DZIALDOWO,miasto 20 - 50 tys. mieszkańców
DZL02M,DZIALDOWO,miasto 20 - 50 tys. mieszkańców
DZL02N,DZIALDOWO,miasto 20 - 50 tys. mieszkańców
DZL03A,DZIALDOWO,miasto 20 - 50 tys. mieszkańców
DZL03M,DZIALDOWO,miasto 20 - 50 tys. mieszkańców
DZL04M,DZIALDOWO,miasto 20 - 50 tys. mieszkańców
DZL05M,DZIALDOWO,miasto 20 - 50 tys. mieszkańców
DZL06M,DZIALDOWO,miasto 20 - 50 tys. mieszkańców
DZL07M,DZIALDOWO,miasto 20 - 50 tys. mieszkańców
DZM01M,DZIEMIANY,wieś
DZM01N,DZIEMIANY,wieś
DZN01N,DZWIRZYNO,wieś
DZO01M,DZIERZGOWO,wieś
DZR01M,DZIERZENIN,wieś
DZS01M,DZIALKI SUSKOWOLSKIE,wieś
DZT01M,DZIEWIETLICE,wieś
DZW01M,DZIWNÓW,miasto do 20 tys. mieszkańców
DZW01N,DZIWNÓW,miasto do 20 tys. mieszkańców
DZX01G,DZIALKI,wieś
DZY01M,DZIETRZNIKI,wieś
DZZ01M,DZIERZAZNO,wieś
EGI01M,EGIERTOWO,wieś
ELB01A,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB01D,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB01E,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB01M,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB01N,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB02D,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB02M,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB02N,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB03A,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB03M,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB03N,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB04A,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB04M,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB04N,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB05A,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB05M,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB05N,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB06A,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB06M,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB06N,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB07A,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB07M,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB07N,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB08A,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB08M,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB08N,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB09A,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB09M,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB09N,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB10M,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB10N,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB11M,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB11N,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB12M,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB12N,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB13M,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB13N,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB14M,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB14N,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB15M,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB15N,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB161,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB163,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB164,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB165,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB16M,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB16N,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB17M,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB17N,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB18M,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB18N,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB19M,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB19N,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB20M,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB21M,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB22M,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB23M,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB24M,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB25M,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB26M,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB27M,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB28M,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB29M,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB30M,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELB31M,ELBLAG,miasto 100 - 200 tys. mieszkańców
ELG01M,ELGISZEWO,wieś
ELI01M,ELIZÓWKA,wieś
ELK01A,ELK,miasto 50 - 100 tys. mieszkańców
ELK01G,ELK,miasto 50 - 100 tys. mieszkańców
ELK01H,ELK,miasto 50 - 100 tys. mieszkańców
ELK01M,ELK,miasto 50 - 100 tys. mieszkańców
ELK01ML,ELK,miasto 50 - 100 tys. mieszkańców
ELK01N,ELK,miasto 50 - 100 tys. mieszkańców
ELK01W,ELK,miasto 50 - 100 tys. mieszkańców
ELK02A,ELK,miasto 50 - 100 tys. mieszkańców
ELK02G,ELK,miasto 50 - 100 tys. mieszkańców
ELK02M,ELK,miasto 50 - 100 tys. mieszkańców
ELK02N,ELK,miasto 50 - 100 tys. mieszkańców
ELK02W,ELK,miasto 50 - 100 tys. mieszkańców
ELK03A,ELK,miasto 50 - 100 tys. mieszkańców
ELK03M,ELK,miasto 50 - 100 tys. mieszkańców
ELK03N,ELK,miasto 50 - 100 tys. mieszkańców
ELK03W,ELK,miasto 50 - 100 tys. mieszkańców
ELK04A,ELK,miasto 50 - 100 tys. mieszkańców
ELK04M,ELK,miasto 50 - 100 tys. mieszkańców
ELK04W,ELK,miasto 50 - 100 tys. mieszkańców
ELK05A,ELK,miasto 50 - 100 tys. mieszkańców
ELK05M,ELK,miasto 50 - 100 tys. mieszkańców
ELK05W,ELK,miasto 50 - 100 tys. mieszkańców
ELK06M,ELK,miasto 50 - 100 tys. mieszkańców
ELK07M,ELK,miasto 50 - 100 tys. mieszkańców
ELK08M,ELK,miasto 50 - 100 tys. mieszkańców
ELK09M,ELK,miasto 50 - 100 tys. mieszkańców
ELK10M,ELK,miasto 50 - 100 tys. mieszkańców
ELK11M,ELK,miasto 50 - 100 tys. mieszkańców
ELK12M,ELK,miasto 50 - 100 tys. mieszkańców
ELK13M,ELK,miasto 50 - 100 tys. mieszkańców
ELK151,ELK,miasto 50 - 100 tys. mieszkańców
ELK152,ELK,miasto 50 - 100 tys. mieszkańców
EMI01M,EMILIANÓW,wieś
FAB01M,FABIANKI,wieś
FAJ01M,FAJSLAWICE,wieś
FAK01M,FALKOWO,wieś
FAL01C,FALKÓW,wieś
FAL01M,FALKÓW,wieś
FAS01M,FASZCZE,wieś
FCC01M,FALECICE,wieś
FII01M,FILIPÓW,wieś
FII01W,FILIPÓW,wieś
FIJ01M,FIJEWO,wieś
FIR01N,FIRLEJ,wieś
FIU01M,FIUKÓWKA,wieś
FLN01M,FALENTY,wieś
FLR01M,FLORYNKA,wieś
FMP01G,FRAMPOL,miasto do 20 tys. mieszkańców
FMP01M,FRAMPOL,miasto do 20 tys. mieszkańców
FNN01M,FALENTY NOWE,wieś
FNN02M,FALENTY NOWE,wieś
FRD01M,FREDNOWY,wieś
FRE01M,FREDROPOL,wieś
FRO01A,FROMBORK,miasto do 20 tys. mieszkańców
FRR01M,FRYDRYCHOWICE,wieś
FRR02M,FRYDRYCHOWICE,wieś
FRY01G,FRYSZTAK,wieś
FRY01M,FRYSZTAK,wieś
FRY02M,FRYSZTAK,wieś
FST01M,FASTY,wieś
FYD01F,FRYDMAN,wieś
FYD01G,FRYDMAN,wieś
GAA01G,GRANICA,wieś
GAA01M,GRANICA,wieś
GAB01C,GOLAB,wieś
GAB01M,GOLAB,wieś
GAB02M,GOLAB,wieś
GAC01N,GAC,wieś
GAD01M,GARDNO,wieś
GAD01N,GARDNO,wieś
GAE01M,GRANOWIEC,wieś
GAG01M,GARCZEGORZE,wieś
GAI01M,GRABOWIEC,wieś
GAJ01M,GAJ,wieś
GAK01M,GADKA,wieś
GAL01M,GRABLEWO,wieś
GAM01M,GALKÓW MALY,wieś
GAN01A,GRANOWO,wieś
GAN01M,GRANOWO,wieś
GAN411,GRANOWO,wieś
GAO01M,GRABÓW,wieś
GAP01M,GASEWO PODUCHOWNE,wieś
GAQ01M,GRABANÓW,wieś
GAR01N,ORZESZE,miasto 20 - 50 tys. mieszkańców
GAS01G,GASAWA,wieś
GAS01M,GASAWA,wieś
GAU01M,GAWLUSZOWICE,wieś
GAV01M,GARCZ,wieś
GAW01M,GARBÓW,wieś
GAW02M,GARBÓW,wieś
GAW03M,GARBÓW,wieś
GAW211,GAWORZYCE,wieś
GAX01M,GRABICA,wieś
GAY01M,GWOZDZIANY,wieś
GAZ01A,GASZOWICE,wieś
GAZ01M,GASZOWICE,wieś
GBA01M,GLEBOKA,wieś
GBC01M,GRABÓWIEC,wieś
GBE01M,GRABOWIEC,wieś
GBI01M,GLOBINO,wieś
GBK01M,GRABOWO KOSCIERSKIE,wieś
GBL01C,GARBATKA LETNISKO,wieś
GBL01M,GARBATKA-LETNISKO,wieś
GBL02M,GARBATKA-LETNISKO,wieś
GBN01M,GABIN,miasto do 20 tys. mieszkańców
GBN01N,GABIN,miasto do 20 tys. mieszkańców
GBN02M,GABIN,miasto do 20 tys. mieszkańców
GBN02N,GABIN,miasto do 20 tys. mieszkańców
GBO01F,GRZYBNO,wieś
GBQ01M,GRABOWA,wieś
GBS01M,GRABOSZYCE,wieś
GBU01M,GIEBULTÓW,wieś
GBV01M,GLEBOWICE,wieś
GBW01M,GRABÓWKA,wieś
GBW02M,GRABÓWKA,wieś
GBX01M,GRABIE,wieś
GBY01M,GABRYELIN,wieś
GBZ01M,GRABINY-ZAMECZEK,wieś
GCA01C,GOSZCZA,wieś
GCA01M,GOSZCZA,wieś
GCC01F,GONCZYCE,wieś
GCC01M,GONCZYCE,wieś
GCE01M,GOLENICE,wieś
GCH01G,GLUCHÓW,wieś
GCM01M,GOSCIM,wieś
GCN01G,GORECZYNO,wieś
GCO01M,GRODZICZNO,wieś
GCQ01M,GOCZALKÓW,wieś
GCS01M,GROCHÓW SZLACHECKI,wieś
GCW01G,GLUCHÓW,wieś
GCW01M,GLUCHÓW,wieś
GCX01M,GREBOCICE,wieś
GCX02M,GREBOCICE,wieś
GCX03M,GREBOCICE,wieś
GCY01C,GOSTYCYN,wieś
GCY01M,GOSTYCYN,wieś
GCZ01A,GOLANCZ,miasto do 20 tys. mieszkańców
GCZ01M,GOLANCZ,miasto do 20 tys. mieszkańców
GCZ02M,GOLANCZ,miasto do 20 tys. mieszkańców
GCZ03M,GOLANCZ,miasto do 20 tys. mieszkańców
GDA01A,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA01APP,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA01F,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA01G,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA01H,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA01HO,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA01HP,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA01L,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA01M,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA01N,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA01SAPP,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA01ZIH,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA025,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA02A,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA02APP,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA02B,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA02F,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA02G,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA02H,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA02HO,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA02L,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA02M,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA02N,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA02SAPP,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA02ZIH,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA03A,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA03APP,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA03B,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA03F,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA03G,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA03H,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA03HO,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA03L,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA03M,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA04B,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA04F,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA04G,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA04H,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA04HO,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA04L,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA04M,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA05A,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA05B,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA05F,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA05G,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA05M,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA05N,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA06A,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA06B,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA06F,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA06G,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA06L,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA06M,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA06N,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA07A,GDANSK,wieś
GDA07B,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA07F,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA07L,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA07M,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA07N,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA08A,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA08B,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA08L,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA08M,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA08N,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA09A,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA09B,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA09L,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA09M,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA09N,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA100M,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA101M,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA102M,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA103M,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA104M,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA105M,GDANSK,wieś
GDA106M,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA107M,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA108M,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA109M,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA10A,GDANSK,miasto 200 - 500 tys. mieszkańców
GDA10B,GDANSK,miasto 200 - 500 tys. mieszkańców
